regimen,acat,all_tb,all_ae,tst_tb,tst_ae
none,0-17,"35.0 (24.8,43.1)"," 0.0 ( 0.0, 0.0)","35.0 (24.8,43.1)","0.0 (0.0,0.0)"
none,18-34," 5.9 ( 4.3, 7.1)"," 0.0 ( 0.0, 0.0)"," 5.9 ( 4.3, 7.1)","0.0 (0.0,0.0)"
none,35-64," 5.9 ( 4.3, 7.2)"," 0.0 ( 0.0, 0.0)"," 5.9 ( 4.3, 7.2)","0.0 (0.0,0.0)"
none,65+," 5.9 ( 4.4, 7.1)"," 0.0 ( 0.0, 0.0)"," 5.9 ( 4.4, 7.1)","0.0 (0.0,0.0)"
6H,0-17,"14.9 (10.0,18.6)"," 2.5 ( 0.7, 3.5)","27.2 (17.8,33.9)","0.3 (0.1,0.3)"
6H,18-34," 2.4 ( 1.7, 3.0)","15.4 (13.0,17.5)"," 4.5 ( 3.1, 5.5)","1.5 (1.3,1.8)"
6H,35-64," 2.5 ( 1.7, 3.0)","28.0 (25.2,30.6)"," 4.5 ( 3.1, 5.5)","2.8 (2.5,3.1)"
6H,65+," 2.6 ( 1.8, 3.1)","54.8 (39.6,67.3)"," 4.5 ( 3.2, 5.6)","5.5 (4.0,6.7)"
4R,0-17,"13.5 ( 8.4,16.9)"," 3.0 ( 0.8, 4.2)","26.5 (17.2,33.2)","0.3 (0.1,0.4)"
4R,18-34," 2.2 ( 1.4, 2.7)"," 8.7 ( 6.9,10.2)"," 4.4 ( 3.0, 5.4)","0.9 (0.7,1.0)"
4R,35-64," 2.2 ( 1.4, 2.7)"," 9.0 ( 7.3,10.5)"," 4.4 ( 3.0, 5.4)","0.9 (0.7,1.0)"
4R,65+," 2.2 ( 1.5, 2.7)","23.2 (12.2,30.9)"," 4.4 ( 3.0, 5.4)","2.3 (1.2,3.1)"
3HP,0-17," 9.5 ( 5.7,12.1)"," 5.6 ( 2.9, 7.5)","24.9 (15.8,31.4)","0.6 (0.3,0.7)"
3HP,18-34," 1.6 ( 1.0, 1.9)","20.3 (17.7,22.6)"," 4.1 ( 2.7, 5.1)","2.0 (1.8,2.3)"
3HP,35-64," 1.7 ( 1.1, 2.0)","41.9 (38.7,44.9)"," 4.2 ( 2.8, 5.2)","4.2 (3.9,4.5)"
3HP,65+," 1.8 ( 1.2, 2.3)","83.8 (66.9,98.6)"," 4.2 ( 2.8, 5.3)","8.4 (6.7,9.9)"
